eGFR Decline Rate,Percent Reduction,Total Costs,Total QALYs,Incremental Costs,Incremental QALYs,ICER,Below Threshold
0.0,100.0,3592313.000532781,14.03423619791463,2509587.0816032737,3.4624589212894517,724799.091816714,False
0.08163265306122448,92.57884972170686,3592313.000532781,14.03423619791463,2509587.0816032737,3.4624589212894517,724799.091816714,False
0.16326530612244897,85.15769944341373,3597100.0156481867,13.969901774591301,2514374.0967186796,3.3981244979661227,739929.9520142968,False
0.24489795918367346,77.73654916512059,3614495.9573434233,13.77859163512683,2531770.0384139162,3.206814358501651,789496.9135652923,False
0.32653061224489793,70.31539888682747,3642886.0133766467,13.505768213295392,2560160.0944471397,2.933990936670213,872586.2314191965,False
0.4081632653061224,62.89424860853432,3685214.021957443,13.195432167124938,2602488.103027936,2.6236548904997594,991932.3278574221,False
0.4897959183673469,55.473098330241186,3736804.2290716325,12.858116464513806,2654078.3101421255,2.2863391878886272,1160841.892664708,False
0.5714285714285714,48.05194805194806,3792830.077333739,12.52240822501421,2710104.158404232,1.9506309483890316,1389347.4624928036,False
0.6530612244897959,40.630797773654926,3861012.959238006,12.166578558499873,2778287.040308499,1.5948012818746946,1742089.7963178286,False
0.7346938775510203,33.20964749536179,3920979.719751179,11.849983913735105,2838253.800821672,1.2782066371099265,2220496.841761885,False
0.8163265306122448,25.788497217068663,3976274.1087593907,11.592368182134965,2893548.1898298836,1.0205909055097866,2835169.4829031937,False
0.8979591836734693,18.367346938775526,4042393.996931515,11.29760445929343,2959668.078002008,0.725827182668251,4077648.438464124,False
0.9795918367346939,10.946196660482384,4121552.789394463,10.959722751448663,3038826.870464956,0.38794547482348385,7833128.796895052,False
1.0612244897959182,3.5250463821892613,4147930.5880337516,10.81466146553444,3065204.6691042446,0.24288418890926167,12620025.547440492,False
1.1428571428571428,-3.8961038961038823,4247352.735486433,10.409574099180123,3164626.816556926,-0.16220317744505586,-inf,False
1.2244897959183672,-11.317254174397005,4247352.735486433,10.409574099180123,3164626.816556926,-0.16220317744505586,-inf,False
1.3061224489795917,-18.738404452690148,4366514.618609883,9.943918008227977,3283788.699680376,-0.6278592683972022,-inf,False
1.3877551020408163,-26.15955473098329,4366514.618609883,9.943918008227977,3283788.699680376,-0.6278592683972022,-inf,False
1.4693877551020407,-33.580705009276414,4404645.274755121,9.754273578104144,3321919.355825614,-0.8175036985210351,-inf,False
1.5510204081632653,-41.001855287569555,4509376.971380059,9.40795908277211,3426651.0524505517,-1.1638181938530696,-inf,False
1.6326530612244896,-48.42300556586268,4509376.971380059,9.40795908277211,3426651.0524505517,-1.1638181938530696,-inf,False
1.7142857142857142,-55.84415584415582,4554285.927076736,9.195021039523423,3471560.0081472294,-1.3767562371017554,-inf,False
1.7959183673469385,-63.26530612244895,4554285.927076736,9.195021039523423,3471560.0081472294,-1.3767562371017554,-inf,False
1.8775510204081631,-70.68645640074209,4680663.298513051,8.79041976336222,3597937.379583544,-1.781357513262959,-inf,False
1.9591836734693877,-78.10760667903523,4680663.298513051,8.79041976336222,3597937.379583544,-1.781357513262959,-inf,False
2.0408163265306123,-85.52875695732838,4733637.017593991,8.550851173482746,3650911.098664484,-2.0209261031424326,-inf,False
2.1224489795918364,-92.94990723562148,4733637.017593991,8.550851173482746,3650911.098664484,-2.0209261031424326,-inf,False
2.204081632653061,-100.37105751391462,4733637.017593991,8.550851173482746,3650911.098664484,-2.0209261031424326,-inf,False
2.2857142857142856,-107.79220779220778,4733637.017593991,8.550851173482746,3650911.098664484,-2.0209261031424326,-inf,False
2.36734693877551,-115.2133580705009,4733637.017593991,8.550851173482746,3650911.098664484,-2.0209261031424326,-inf,False
2.4489795918367343,-122.63450834879401,4733637.017593991,8.550851173482746,3650911.098664484,-2.0209261031424326,-inf,False
2.530612244897959,-130.05565862708715,4948561.989890329,7.808226318565053,3865836.0709608216,-2.763550958060126,-inf,False
2.6122448979591835,-137.4768089053803,4948561.989890329,7.808226318565053,3865836.0709608216,-2.763550958060126,-inf,False
2.693877551020408,-144.89795918367344,4948561.989890329,7.808226318565053,3865836.0709608216,-2.763550958060126,-inf,False
2.7755102040816326,-152.31910946196658,4948561.989890329,7.808226318565053,3865836.0709608216,-2.763550958060126,-inf,False
2.8571428571428568,-159.7402597402597,4948561.989890329,7.808226318565053,3865836.0709608216,-2.763550958060126,-inf,False
2.9387755102040813,-167.16141001855283,4948561.989890329,7.808226318565053,3865836.0709608216,-2.763550958060126,-inf,False
3.020408163265306,-174.58256029684597,4948561.989890329,7.808226318565053,3865836.0709608216,-2.763550958060126,-inf,False
3.1020408163265305,-182.0037105751391,4948561.989890329,7.808226318565053,3865836.0709608216,-2.763550958060126,-inf,False
3.1836734693877546,-189.42486085343222,4948561.989890329,7.808226318565053,3865836.0709608216,-2.763550958060126,-inf,False
3.265306122448979,-196.84601113172536,4948561.989890329,7.808226318565053,3865836.0709608216,-2.763550958060126,-inf,False
3.346938775510204,-204.26716141001847,5014056.797666696,7.526738424695389,3931330.878737189,-3.0450388519297897,-inf,False
3.4285714285714284,-211.68831168831167,5014056.797666696,7.526738424695389,3931330.878737189,-3.0450388519297897,-inf,False
3.510204081632653,-219.10946196660478,5014056.797666696,7.526738424695389,3931330.878737189,-3.0450388519297897,-inf,False
3.591836734693877,-226.53061224489787,5014056.797666696,7.526738424695389,3931330.878737189,-3.0450388519297897,-inf,False
3.6734693877551017,-233.95176252319106,5014056.797666696,7.526738424695389,3931330.878737189,-3.0450388519297897,-inf,False
3.7551020408163263,-241.37291280148418,5206026.608615417,6.95151968154957,4123300.68968591,-3.620257595075609,-inf,False
3.836734693877551,-248.79406307977732,5206026.608615417,6.95151968154957,4123300.68968591,-3.620257595075609,-inf,False
3.9183673469387754,-256.21521335807046,5206026.608615417,6.95151968154957,4123300.68968591,-3.620257595075609,-inf,False
4.0,-263.6363636363636,5206026.608615417,6.95151968154957,4123300.68968591,-3.620257595075609,-inf,False
