ISO_A3;region;patients
NGA;Africa;205
EGY;Africa;131
ETH;Africa;105
COD;Africa;79
TZA;Africa;73
ZAF;Africa;62
KEN;Africa;61
AGO;Africa;46
SDN;Africa;41
GHA;Africa;38
UGA;Africa;38
DZA;Africa;37
CMR;Africa;36
MOZ;Africa;34
MDG;Africa;32
BFA;Africa;30
MAR;Africa;30
CIV;Africa;25
TCD;Africa;23
NER;Africa;22
ZMB;Africa;21
GIN;Africa;19
RWA;Africa;18
ZWE;Africa;17
MLI;Africa;16
MWI;Africa;14
SOM;Africa;14
SEN;Africa;10
TUN;Africa;10
BEN;Africa;9
COG;Africa;8
LBY;Africa;8
SLE;Africa;8
BWA;Africa;7
GAB;Africa;7
MRT;Africa;7
SSD;Africa;7
BDI;Africa;6
CAF;Africa;5
LBR;Africa;5
TGO;Africa;3
ERI;Africa;2
GNB;Africa;2
SWZ;Africa;2
CPV;Africa;1
DJI;Africa;1
ESH;Africa;1
LSO;Africa;1
MUS;Africa;1
MYT;Africa;1
NAM;Africa;1
STP;Africa;1
USA;Americas;343
BRA;Americas;190
MEX;Americas;126
COL;Americas;58
VEN;Americas;47
ARG;Americas;43
CAN;Americas;28
ECU;Americas;23
HTI;Americas;23
CHL;Americas;20
PER;Americas;20
GTM;Americas;17
DOM;Americas;15
BOL;Americas;10
SLV;Americas;10
PRY;Americas;9
HND;Americas;8
CRI;Americas;7
CUB;Americas;7
PAN;Americas;4
NIC;Americas;3
BHS;Americas;1
GUF;Americas;1
GUY;Americas;1
JAM;Americas;1
TTO;Americas;1
URY;Americas;1
IND;Asia;1396
CHN;Asia;976
IDN;Asia;292
PAK;Asia;180
BGD;Asia;158
PHL;Asia;147
JPN;Asia;102
VNM;Asia;98
TUR;Asia;89
IRN;Asia;74
IRQ;Asia;60
THA;Asia;53
AFG;Asia;43
MMR;Asia;34
SYR;Asia;34
KOR;Asia;31
SAU;Asia;31
UZB;Asia;31
YEM;Asia;27
LKA;Asia;26
PRK;Asia;25
NPL;Asia;24
MYS;Asia;21
KAZ;Asia;14
KHM;Asia;11
TKM;Asia;11
JOR;Asia;9
KGZ;Asia;9
TJK;Asia;9
AZE;Asia;8
ARE;Asia;7
ISR;Asia;7
MNG;Asia;7
OMN;Asia;7
PSE;Asia;7
HKG;Asia;4
LAO;Asia;4
LBN;Asia;3
SGP;Asia;3
ARM;Asia;2
BHR;Asia;2
KWT;Asia;2
BRN;Asia;1
MAC;Asia;1
QAT;Asia;1
RUS;Europe;101
DEU;Europe;66
GBR;Europe;60
FRA;Europe;50
ITA;Europe;42
ESP;Europe;38
UKR;Europe;26
POL;Europe;22
NLD;Europe;18
ROU;Europe;16
SWE;Europe;11
BEL;Europe;10
CHE;Europe;8
CZE;Europe;7
DNK;Europe;6
GRC;Europe;6
NOR;Europe;6
AUT;Europe;5
BLR;Europe;5
HUN;Europe;5
MDA;Europe;5
MKD;Europe;4
PRT;Europe;4
SRB;Europe;4
BIH;Europe;3
LTU;Europe;3
SVN;Europe;3
ALB;Europe;2
BGR;Europe;2
FIN;Europe;2
HRV;Europe;2
IRL;Europe;2
LVA;Europe;2
SVK;Europe;2
ISL;Europe;1
AUS;Oceania;20
PNG;Oceania;11
NZL;Oceania;5
SLB;Oceania;1
TON;Oceania;1
VUT;Oceania;1